n,chapter,chapter_title,part,quote,attribution,what_it_means,how_to_use_it
1,1,Starting Before You Feel Ready,One,"Our doubts are traitors, and make us lose the good we oft might win, by fearing to attempt.",William Shakespeare,"Doubt arrives dressed as caution, apparently on your side, protecting you from embarrassment. It isn't. It costs you things you would have won, and it never sends an invoice, so you never learn the size of the bill.","Name one thing you talked yourself out of last year. The job, the message, the flat. You will never know how it would have gone. That not knowing is the price, and doubt charged it. Put it on doubt's account rather than down to bad luck, and the next decision gets easier."
2,1,Starting Before You Feel Ready,One,"A ship in harbour is safe, but that is not what ships are built for.",John A. Shedd,"Safety is worth having. It is not the only thing worth having, and a life organised entirely around avoiding loss stops producing anything you would want to keep.","Find where you have been moored so long you have started calling it home. The savings you keep adding to and never spend, the job you are not unhappy in, the flat you meant to leave in 2019 and have now repainted twice: none of it has to be abandoned this week, and all of it is worth one honest question, which is what you are preserving it for, and whether the answer is a plan or a habit."
3,1,Starting Before You Feel Ready,One,The beginning is the most important part of the work.,Plato,"Not the hardest part, and not the most impressive. The conditional one. An unstarted project has no problems, no progress and no existence, and starting is the act that turns an idea into something you can work on.","Shrink your definition of ""started"" until it is almost insulting. Open the file and type the title. Book the appointment for a fortnight away. You are not making progress today. You are moving the thing from imaginary to real, which is a different job."
4,1,Starting Before You Feel Ready,One,Do the thing you fear and the death of fear is certain.,Ralph Waldo Emerson,"Fear does not argue back. You cannot reason your way out of dreading a phone call, because the dread was never assembled out of reasons. It answers to evidence, and the only evidence it accepts is having done the thing.","Take the smallest version of what you are avoiding and do that one this week. Frightened of speaking in public? Ask a question at a meeting. Your nervous system keeps score of outcomes, not intentions, and one uneventful attempt outweighs a month of preparation."
5,1,Starting Before You Feel Ready,One,Fortune favours the bold.,"Latin proverb, from Virgil","Not a promise that boldness gets paid. An observation about who happens to be standing where the luck comes down. Good fortune requires your attendance, and hesitation is mostly a way of not being in the room.","Next time you are working out whether to put your name forward, stop weighing whether you deserve it. Ask whether saying yes puts you nearer the places where things happen. Being in the room is not winning. It is the only reliable condition for it."
6,1,Starting Before You Feel Ready,One,Courage is the first of human qualities because it guarantees all the others.,Aristotle,Every other virtue needs nerve before it can appear in the world. Honesty is worth nothing if you are too frightened to say the true thing. Kindness that evaporates the moment it costs you was never kindness. It was comfort.,"When your values fail to show up in a moment that mattered, don't conclude you lack the value. Ask whether you lacked the nerve to spend it. That is a far more fixable problem, and it is generally the real one."
7,1,Starting Before You Feel Ready,One,"Nothing in life is to be feared, it is only to be understood.",Marie Curie,"Fear lives on vagueness. It attaches to the outline of a thing rather than its contents, which is why the dreaded task shrinks the instant you look straight at it and find out what is actually involved.",Write down what happens next. Not how you feel about it. The sequence. Ring the surgery. Wait on hold. Ask for the appointment. Fear rarely survives contact with a numbered list.
8,1,Starting Before You Feel Ready,One,The best time to plant a tree was twenty years ago. The second best time is now.,proverb,Regret about a late start is a way of spending the present to punish yourself for the past. The years you did not use are gone whether you brood over them or not. What remains open is the question of the ones you still have.,You are forty and you want to play the piano. The objection that you would be good by now if you had started at twenty is both true and useless. You will be forty-five either way. The only variable is whether you can play by then.
9,1,Starting Before You Feel Ready,One,"Whatever you can do, or dream you can, begin it.",attributed to Goethe,"The line is usually quoted for the mystical part that follows, about providence moving. Ignore that. The practical observation underneath is that the act of beginning produces information you could not have got any other way, puts you in front of people who were previously abstractions, and generates a momentum that simply does not exist while a thing is still being considered.","Stop planning your way to certainty about something you have never done. Build a cheap, small, real version and watch what happens. One afternoon of attempting it teaches more than a fortnight of reading about it, and costs less."
10,1,Starting Before You Feel Ready,One,He that is over-cautious will accomplish little.,Friedrich Schiller,Caution feels free because its bills are invisible. Nothing goes wrong. Nothing goes anywhere either. Repeat the safest available choice for long enough and it becomes its own quiet disaster.,"Once a year, look back at the decisions where you took the careful option and ask what it bought. Sometimes real protection. Sometimes a decade of not much. Only the second sort needs changing, and it is visible only if you look on purpose."
11,1,Starting Before You Feel Ready,One,The journey of a thousand miles begins with a single step.,Lao Tzu,"Worn smooth by repetition, and the point survives. Distance is never experienced as distance. It is experienced as one step, then another. The thousand miles exists only in your head, which is where the frightening is being done.","When a goal is big enough to freeze you, refuse to look at it. Decide what happens in the next hour, do that, then decide again. This is not a trick to make the task smaller. It is a way of not carrying all of it at once."
12,1,Starting Before You Feel Ready,One,"It is hard to fail, but it is worse never to have tried to succeed.",Theodore Roosevelt,"Both options hurt, so choose the one that hurts usefully. Failure is sharp, specific and over. Not trying is dull and vague and permanent, it never resolves into a story you can tell, and it stays on the shelf indefinitely, available for revisiting at three in the morning for the next forty years.","Do not compare trying against an imaginary version of not trying in which you feel nothing. Compare it against how you will feel in five years, having not tried. That is the honest comparison. It usually settles the matter in one go."
13,1,Starting Before You Feel Ready,One,Start where you are. Use what you have. Do what you can.,Arthur Ashe,"Waiting for better conditions is the respectable way of not beginning. The proper equipment, the free weekend, the calm patch at work. All real, and all the reason nothing has happened yet.","Whatever you are postponing until conditions improve, do a shabby version this week with what is already in the house. Bad equipment used beats good equipment planned for. Upgrade once you know you will continue."
14,1,Starting Before You Feel Ready,One,Freedom is not worth having if it does not include the freedom to make mistakes.,Mahatma Gandhi,Allow yourself only the choices you are certain will go well and you have quietly reduced your options to things you have already done. Getting it wrong is not a fault in the system. It is the price of being allowed to choose at all.,"Decide in advance what a tolerable mistake looks like. Two hundred pounds and an awkward conversation, say. Naming the acceptable loss turns a frightening open risk into a bounded one, and bounded risks are much easier to take."
15,1,Starting Before You Feel Ready,One,Look before you leap.,English proverb,"Everything above argues for moving, and it needs a limit. Some hesitation is not fear. It is your judgement noticing something your enthusiasm has not caught up with, and it deserves a hearing before you overrule it.","Ask one question. If this goes badly, do I recover? Yes, and it is nerves; proceed. No, because you would lose the house or the visa or the marriage, and it is not nerves at all. That is the part of you paying attention."
16,2,When Things Go Wrong,One,What stands in the way becomes the way.,Marcus Aurelius,"The obstacle is not blocking the path to the thing you wanted. It is now the path, in the sense that getting through it is the only route onward. Time spent objecting to its presence is time spent not walking.","Catch yourself protesting that a problem exists: the traffic, the illness, the client who has changed the brief for the third time. Notice that protesting is a separate activity from solving. You can do both. You cannot do the first instead of the second and call it coping."
17,2,When Things Go Wrong,One,"There is nothing either good or bad, but thinking makes it so.",William Shakespeare,"Not a claim that suffering is imaginary. A claim about proportion: how much of your distress comes from the verdict you have attached to an event rather than from the event, and the answer is more than you would like.","Write what happened in the plainest available words, as though filling in a form. ""My contract was not renewed."" Then look at everything you were carrying that is not in that sentence. Humiliation. The sense of being found out. The future you had assumed. All of it came from you, which means all of it is negotiable."
18,2,When Things Go Wrong,One,A gem cannot be polished without friction.,Seneca,"Some capacities can only be built by being used, and using them is unpleasant by definition. Nobody learns to hold their nerve in comfortable conditions, because comfortable conditions never ask.","Mid-way through a hard stretch, ask what it is teaching you to do that you could not do in January. Sit with uncertainty. Have the conversation. Not every difficulty builds something. When it does, you can name the exact capacity, and naming it makes the stretch easier to stand in."
19,2,When Things Go Wrong,One,This too shall pass.,Persian adage,"Written to cut both ways. It consoles you in the bad times and unsettles you in the good ones, which is the point of it: the subject is impermanence, not reassurance. Nothing you are feeling now is the permanent condition.","At the worst of it, your mind will insist this is how life is from here. Test that against your own record. Think of the thing that flattened you five years ago and notice how rarely it crosses your mind now. Present pain always feels permanent. It never is."
20,2,When Things Go Wrong,One,"Although the world is full of suffering, it is also full of the overcoming of it.",Helen Keller,"Both halves are true at once, and misery hides the second one. When things are bad the mind stops registering the evidence that people survive, recover, rebuild, and go on to have ordinary Tuesdays afterwards.","Find one person who has come through the specific thing you are in. Not a celebrity, not a memoir. Someone you can talk to, or a forum full of people two years further down the road. You need proof that the far side is inhabited, and it has to be specific before you will believe it."
21,2,When Things Go Wrong,One,"The mind is its own place, and in itself can make a heaven of hell, a hell of heaven.",John Milton,"Milton gives the line to Satan, who is lying to himself, and that is worth knowing before you take it as a promise. It is not a claim that attitude fixes things. It is a description of how far your interior weather determines your experience of identical circumstances.","Notice how different the same problem looks at three in the morning and at eleven the next day. Nothing changed in eight hours except your capacity. So make no decisions and reach no conclusions in the bad hours, and treat whatever your mind says then as weather rather than information."
22,2,When Things Go Wrong,One,"Fall seven times, stand up eight.",Japanese proverb,"The count is off by one, and that is the joke. You get up once more than you fell, forever, because standing up is not a heroic act. It is just the next thing that happens.","Take the drama out of your recoveries. You do not need a new philosophy or a fresh start on Monday morning. You need the ordinary next thing, which is smaller than you think: send the email, eat a proper meal, go outside for twenty minutes. Recovery is not a decision. It accumulates."
23,2,When Things Go Wrong,One,Adversity is the first path to truth.,Lord Byron,"Difficulty strips out the polite fictions. You find out inside a month which friendships were real, which parts of the job you valued, and how much of your sense of yourself was resting on things that could be removed in an afternoon by someone in HR.","Keep a note of what surprises you. Who turned up. What you stopped missing after a fortnight. These observations are available only now, and you will lose access to them the moment life is comfortable again. They are the one useful thing the situation is handing over."
24,2,When Things Go Wrong,One,Nothing is so bitter that a calm mind cannot find comfort in it.,Seneca,"Calm is not the same as being fine, and it is not optimism. It is the state in which your mind still works: still weighs options, still notices the exit, still sees what is in front of it instead of a fog of alarm.","Before any decision made under stress, do whatever lowers your pulse. A walk, a night's sleep, twenty minutes outdoors. Not to feel better. To think better, because your judgement is worse while you are panicking and the decision deserves the other version of you."
25,2,When Things Go Wrong,One,Misfortunes one can endure; they come from outside.,Oscar Wilde,"Wilde is separating what happened to you from what you did, and he thought the second sort was far harder to live with. Bad luck is survivable. Your own conduct is the part that lodges and stays lodged.","Separate the two columns on paper. What was done to you, and what you did. Most bad situations are a mixture, and the mind blurs them so it can take either all the blame or none. Be precise about your column. It is nearly always smaller than the guilt suggests."
26,2,When Things Go Wrong,One,Everything can be taken from a man but one thing: to choose one's attitude in any given set of circumstances.,Viktor Frankl,"Frankl earned the right to say this in conditions worse than most of us will ever meet, and his claim is a small one, which is what makes it hold: when every external option has gone, the response is still yours to choose.","In the situations you cannot change, the waiting list, the bereavement, the verdict already handed down, stop hunting for the action and look for the stance. How do you want to have gone through this, looking back from ten years out? That question has an answer even when nothing else does."
