n,chapter,chapter_title,part,quote,attribution,what_it_means,how_to_use_it
1,1,"Flight, and Other Impossibilities",One,Heavier-than-air flying machines are impossible.,"Lord Kelvin, 1895","Eight years. The Wright Flyer left the ground at Kitty Hawk. Within Kelvin's own lifetime, aeroplanes were being sold; within fifteen years of his death they were being manufactured in thousands for war. Kelvin was no crank. He was the most eminent physicist in Britain and president of the Royal Society. The temperature scale is named after him. He made the remark in the year he took that presidency.","Reasoning from the engines that existed. Kelvin knew the power-to-weight ratio of steam, and by that arithmetic he was right: no steam plant of 1895 could lift itself and a man. What he treated as a law of nature was a fact about metallurgy and fuel. The internal combustion engine changed the constant, and the argument, which had been sound, did not survive it by a day."
2,1,"Flight, and Other Impossibilities",One,"The demonstration that no possible combination of known substances, known forms of machinery and known forms of force, can be united in a practical machine by which man shall fly long distances through the air, seems to the writer as complete as it is possible for the demonstration of any physical fact to be.","Simon Newcomb, 1903","Ten weeks, as it turned out. Newcomb published that in October 1903. The Wrights flew on the seventeenth of December, ten weeks later. He spent some of his remaining years arguing that what they had done did not count, since it could not carry a passenger. Then he argued that it never would.","The escape clause he wrote himself and then forgot. *Known substances, known forms of machinery, known forms of force.* He stated the limits of his claim with perfect accuracy. Then he called it a demonstration of a physical fact. Nothing else in the sentence is wrong. The whole failure lives in a gap. What he established is that nobody yet knew how. What he thought he had established is that it could not be done. Say what you have shown."
3,1,"Flight, and Other Impossibilities",One,It might be assumed that the flying machine which will really fly might be evolved by the combined and continuous efforts of mathematicians and mechanicians in from one million to ten million years.,"The New York Times, 9 October 1903","Sixty-nine days. The editorial was prompted by Samuel Langley's aerodrome, which fell into the Potomac twice. From two failures by one man, the paper concluded that the thing itself was hopeless for geological ages.","A number chosen for rhetoric and then believed. Nothing in the piece supports a million years over a thousand or ten; the figure is there to close the argument, not to carry it. Watch for this in your own arguments. A specific number is disarming, and the specificity of an invented one is exactly as persuasive as the specificity of a measured one."
4,1,"Flight, and Other Impossibilities",One,Man will not fly for fifty years.,"Wilbur Wright, 1901","Two years. He said it to his brother, in frustration, on the train home from a bad season of gliding at Kitty Hawk. He was flying two years later. He did not believe himself. He later recalled the remark with some amusement, as a man who had predicted his own failure and then gone home and got on with the work anyway.","Mood, mistaken for judgement. It is the cheapest and commonest error in the book, and the only one here made by somebody who was actively solving the problem at the time. Notice what saved him. He did not act on it. A forecast made at the bottom of a bad week is a description of the week."
5,1,"Flight, and Other Impossibilities",One,Airplanes are interesting toys but of no military value.,"attributed to Ferdinand Foch, 1911","He commanded the war. Foch became the supreme commander of Allied forces in a war in which aircraft flew reconnaissance, artillery spotting, ground attack and strategic bombing, and he used them. Whether he said it is doubtful. It is one of the most-quoted lines in the genre and the sourcing is thin, so it is marked as attributed here and discussed in the note at the back.","Judging a technology by its first version. In 1911 an aeroplane was a fabric kite that could carry one man and no cargo in fair weather, and the appraisal was accurate. The mistake, if he made it, was to assess the artefact instead of the rate at which it was improving. That rate is the most useful thing to look at. Almost nobody looks at it."
6,1,"Flight, and Other Impossibilities",One,Men might as well project a voyage to the Moon as attempt to employ steam navigation against the stormy North Atlantic Ocean.,"Dionysius Lardner, 1835","Three years. The Great Western crossed under steam in 1838. Lardner's argument was about coal: a ship large enough to carry fuel for the crossing would be too large to be driven by the engines of the day. Isambard Kingdom Brunel had already worked out what Lardner had not. A hull's capacity grows as the cube of its dimensions. Its drag grows as the square. Bigger ships have proportionally more room for coal, not less.","A scaling law applied in the wrong direction. This is a subtler failure than the others here and it is the one that recurs most in engineering. Lardner had the right variables and got the relationship between them backwards, which is worse than ignorance, because it produces a confident number instead of a shrug."
7,1,"Flight, and Other Impossibilities",One,"Rockets cannot work in the vacuum of space, since they have nothing to push against.","The New York Times, 13 January 1920","Forty-nine years, and then a correction. The editorial ridiculed Robert Goddard, then a professor at Clark University, for supposing a rocket could work outside the atmosphere. He seemed, it said, to lack the knowledge ladled out daily in high schools. Goddard was right and the newspaper was wrong about Newton's third law, which is high school physics. On 17 July 1969, as Apollo 11 travelled to the Moon, the paper printed a correction. Goddard had been dead for twenty-four years.","Contempt used as a substitute for checking. The tone is the tell. An anonymous writer, secure in a general education, was certain he stood on the schoolboy's side of the argument, and never troubled to work out which side that was. Nobody is protected from this by being clever. The protection is the two minutes it takes to look. Two minutes."
8,1,"Flight, and Other Impossibilities",One,Space travel is utter bilge.,"Richard Woolley, 1956","He lived to watch all of it. Woolley was the Astronomer Royal, and he said it to the press in his first week in the post. Sputnik went up eighteen months later, Gagarin five years after that, Apollo 11 thirteen years after the remark. Woolley, who lived until 1986, watched all of it. He argued afterwards, with some justice, that he had been answering a narrow question about the cost of a manned lunar programme. He was then quoted as though he had denied that rockets could leave the atmosphere.","A short sentence eating a long argument. His considered position, which was that manned spaceflight would be enormously expensive and scientifically thin compared with instruments, has held up better than almost anything else in this chapter. But he said five words to a reporter, and the five words are what survived. If you are ever asked for a quotable line about something you actually understand, this is the entry to remember."
9,1,"Flight, and Other Impossibilities",One,I think we can leave that out of our thinking. I wish the American public would leave that out of their thinking.,"Vannevar Bush, 1945","They were building it already. Bush was testifying to a Senate committee in December. A 3,000-mile rocket carrying an atomic warhead and landing inside a city, he said, was not going to be built for a very long time. The Soviet R-7 flew in 1957, twelve years later, and the American Atlas the year after. Bush was not a bystander: he had run the entire American wartime research effort, including the administrative machinery that produced the bomb he was talking about.","Adding the difficulties together. Each piece of the problem was hard: the engine, the guidance, the re-entry vehicle, the warhead. Bush knew how hard. He had managed the people working on them. What he did was sum the obstacles when they were in fact being attacked in parallel by two states with unlimited budgets and an existential motive. Effort collapses timelines in a way that inventories of difficulty cannot show. Difficulties do not add."
10,1,"Flight, and Other Impossibilities",One,"That is the biggest fool thing we have ever done. The bomb will never go off, and I speak as an expert in explosives.","William Leahy, 1945","It went off. Leahy said it to President Truman. Trinity was detonated in July, Hiroshima in August. Leahy was Truman's chief of staff and the most senior military officer in the United States, and his objection was recorded by Truman himself. He remained, to his credit, a consistent critic of the weapon's use afterwards, on grounds that had nothing to do with whether it worked.","Expertise in the neighbouring field. Leahy really was an expert in explosives, and everything he knew about chemical explosives was true and irrelevant. The clause *and I speak as an expert* is doing all the work, and it is the part that should have warned him. Authority crosses a boundary far more easily than the knowledge it was built on."
11,2,Nobody Will Want One,One,There is no reason for any individual to have a computer in his home.,"Ken Olsen, 1977","Fifteen years. Olsen was the founder of Digital Equipment Corporation, then the second-largest computer company in the world. Within fifteen years the personal computer had destroyed the minicomputer business his company was built on, and in 1992 the board removed him. He spent decades afterwards explaining, with real irritation and some justice, that he had meant a computer that ran the house and turned the lights on and off. He had not meant a machine you would work on.","A defensible sentence detached from the sentence before it. His defence is probably true, and it did not save him, and it never does: a line that can be quoted alone will be. The deeper problem is the question he was answering. *What would a home computer be for* got settled out of his own idea of what a computer was for, which was serious institutional work. The thing that killed his company was not a better minicomputer. It was a toy that got good."
12,2,Nobody Will Want One,One,"While theoretically and technically television may be feasible, commercially and financially I consider it an impossibility, a development of which we need waste little time dreaming.","Lee de Forest, 1926","Ten years. De Forest had invented the triode valve, the component that made both radio and television electronics possible, and is one of the genuine founding figures of the field. Regular television broadcasting began in Britain in 1936, ten years later. By the time he died in 1961 it was the dominant medium on earth. He revised his view long before that and said so.","A conflation of two different words. He separated *technically feasible* from *commercially possible*, which is exactly the right distinction and better than most people manage. Then he treated the commercial question as if it had a fixed answer, when it is a question about costs that fall every year. Almost nothing is commercially impossible. Things are commercially impossible at a price, and the price is a moving object. Ask at what price."
13,2,Nobody Will Want One,One,Television won't be able to hold on to any market it captures after the first six months. People will soon get tired of staring at a plywood box every night.,"Darryl Zanuck, 1946","He had it exactly backwards. Zanuck ran Twentieth Century Fox. American cinema admissions peaked in 1946, the year he said it, and then fell by more than half over the following decade as television arrived in the home. His own industry spent the 1950s inventing widescreen formats specifically to give audiences something the plywood box could not.","Contempt for the medium instead of attention to the friction. Television in 1946 was worse than cinema in every way he could name, and he named them accurately. What he did not weigh was the only variable that mattered, which is that it was in the house. Convenience beats quality far more often than people in the quality business can bring themselves to believe."
