n,chapter,chapter_title,part,quote,attribution,what_it_means,how_to_use_it
1,1,Condolence,One,Your close friend's mother has died. You knew her a little.,"Condolence, where you knew them","Dear Priya,||I am so sorry about your mum. I keep thinking about that afternoon in the garden when she made us all move the table twice and then decided the first place had been right, and how much she laughed at herself about it. She was very funny, and she was very kind to me when I did not know anyone.||I am not going to pretend to know what this is like. I am around, and I will keep being around in a few months when it goes quiet, which I gather is the hard part.||I will drop some food off on Thursday and leave it on the step. No need to come to the door and no need to reply to this.||With love, Alex","The specific memory. It says *I knew her, and here is proof*, which is the thing a bereaved person is most starved of once the funeral is over and everybody reverts to generalities. Second is the promise about later, because the support collapses at about week three and everyone knows it. Third is the food with the door shut in advance: an offer that requires nothing, not even the effort of being seen."
2,1,Condolence,One,A colleague's father has died. You have met them twice and never met him.,"Condolence, at a distance","Dear Sam,||I have just heard about your father and I wanted to say how sorry I am.||We do not know each other well, so I will not pretend to a closeness we do not have. I hope you are being looked after, and that work is the least of your concerns at the moment.||Everything on the Fenwick account is covered. Rob has it and there is nothing outstanding that needs you. Please do not think about any of it.||Take whatever time you need.||Sam, with sympathy, Murtaza","The honesty about distance. Overclaiming intimacy is the commonest failure in professional condolence, and it reads as false at once. Naming the gap and writing anyway is warmer than pretending. The second half is the real gift: a colleague's dominant anxiety is that things are falling apart in their absence, and removing that is worth more than any sentiment."
3,1,Condolence,One,Someone's baby died before it was born.,"Condolence, for a loss others may not name","Dear Ellie,||I heard about the baby and I am so terribly sorry.||I know some people will not mention it, and I did not want to be one of them. She was real and she was yours and you were going to be her mother.||I am not going to say any of the things people say. I do not think there is anything that helps.||I love you. I am here whenever, for anything, including for talking about her, if you ever want to.||Ellie x","Naming the child, and using the word *she*. Losses like this are handled by everyone around them as though they were medical events and not deaths, and the result is that the bereaved parent is left alone with a grief nobody has acknowledged as grief. The line about not saying the things people say is doing something too: it tells her you know the standard consolations are useless, which means you are safe to talk to."
4,1,Condolence,One,An old friend you have not seen in years has lost their partner.,"Condolence, after a long silence","Dear Tom,||We have not spoken in far too long and I am sorry that this is what brings me back. I heard about Jamie and I am so sorry.||I only met him twice, at your fortieth and at that awful barbecue, and both times I came away thinking you had done extraordinarily well.||I am not writing to reappear in your life or to make you manage an old friendship on top of everything else. I only wanted you to know that somebody who has known you since we were nineteen is thinking about you.||If you ever want a walk with someone who has no opinions about any of it, I am at the same number.||Tom, I am sorry. Alex","Addressing the awkwardness of the gap in the first line, so it stops being the elephant. Then lifting the obligation to reciprocate, out loud, which is what stops people writing after a long silence: the fear of imposing a resumed friendship on somebody at their worst. Naming that fear and disclaiming it makes the letter a gift rather than a demand."
5,1,Condolence,One,You have missed it. The funeral was six weeks ago.,"Condolence, late","Dear Rachel,||This is late, and I am not going to explain why, because the reasons are not interesting and they are not really reasons.||I have been thinking about your dad and about you.||My guess, from the little I know, is that the phone has stopped ringing by now and the house is quieter than it was in November. If that is right, I hope somebody is still checking on you.||I am, from a distance, and with no expectation of a reply.||Rachel, with love, Sarah","Refusing to explain the delay. Explanations turn a condolence letter into a letter about you, and the bereaved person then has to absolve you, which is another job. The other move is the guess about the phone having stopped: it demonstrates that you have thought about what this week is like for her, not what the week of the funeral was like, and that is exactly what late letters are for."
6,2,"Illness, and Other People's Bad News",One,A friend has been diagnosed with something serious.,Writing to someone who is ill,"Dear Nadia,||Ben told me yesterday. I am so sorry. What a frightening thing to be told.||I am not going to tell you that you will be fine, because I do not know that and you have probably had enough of it from people who also do not know it. Whatever this turns out to be, it is allowed to be as bad as it is.||Practical things: I am going to drop a bag of proper food round on Sunday morning, and I will do it every Sunday until you tell me to stop. If you would rather I did not, say so and I will not be offended, but the default is that I am coming.||I would love to see you when you are up to it. There is no rush and no obligation, and I will not read anything into a slow reply.||All my love, Kate","Refusing the forecast. Saying *it is allowed to be as bad as it is* gives permission almost nobody offers. It is the thing ill people most often say they wish somebody had said. Then the offer with a default in it: not *would you like food* but *food is coming, tell me to stop*, which removes the burden of asking."
7,2,"Illness, and Other People's Bad News",One,Somebody's marriage has ended and you are friends with both.,When you do not know whose side to take,"Dear Chris,||I heard about you and Fran. I am sorry. Whatever the details, I know it will not have been easy to get here.||I want to be straight with you, because I would rather say it than have you wonder. I am not going to take a side, and I have said the same to her. That is not neutrality about how you are; I care about you a great deal. It just means I am not the person to discuss the whys with.||What I can be is somebody you get a curry with who does not mention it once, if that is useful.||I am about most Thursdays.||Chris, Ade","Saying the awkward thing instead of hoping it will not come up, and saying it early. Friends of both parties go quiet because they cannot face this conversation, and the going quiet is experienced as a second loss. The other move is offering the specific thing a newly separated person is least likely to be offered: an evening where nobody mentions it."
8,2,"Illness, and Other People's Bad News",One,A colleague has been made redundant.,After a redundancy,"Dear Priya,||I only heard this morning and I am sorry. For what it is worth, everybody I have spoken to has said some version of the same thing, which is that it makes no sense and it is not a reflection of your work.||Three specific offers, all of which stand for as long as you want them.||I will write you a reference today, and I mean a real one, not a template. Say the word.||I know two people at Halden and one at the Trust, and I am happy to introduce you to any of them, or all three.||And if you would rather not think about work at all for a month, that is also completely reasonable and I will stop sending you things.||I am sorry, Priya. It is genuinely their loss.||Murtaza","Three named offers instead of one vague one, each small enough to accept without embarrassment. The last of the three is the one that matters most and is almost never given: explicit permission to not job-hunt yet. Everybody else in her inbox is being helpful in a way that assumes urgency, and the effect is a person who cannot rest."
9,2,"Illness, and Other People's Bad News",One,A friend's child is in hospital.,"To a parent, mid-crisis","Ellie,||No need to read this now or ever.||I am not going to ask how he is, because you are answering that question thirty times a day and I do not want to be the thirty-first.||I have put twenty pounds of credit on the hospital car park app under your registration. There is also a bag with phone chargers, a blanket, decent coffee and paracetamol at the ward reception with your name on it.||I am going to text you one thing every day. It will not need a reply, it will just be something normal and stupid so your phone does something other than deliver bad news.||I love you both. Say nothing back.||Sarah","Not asking. A parent in a hospital spends the whole day being asked for an update they do not have. The letter that does not ask is remembered for years. Everything else is logistics: car park credit, chargers, coffee, all things that are unbearable to arrange from inside a ward and trivial to arrange from outside one."
10,2,"Illness, and Other People's Bad News",One,Somebody's parent has dementia and it is going to go on for years.,The illness with no end date,"Dear Tom,||I have been thinking about you and your mum.||I know this is not the kind of news that comes with a moment. There is no day when people send cards, and I imagine the hardest part is that it is a loss that keeps happening rather than one that happened.||I am not going to disappear after the initial flurry. I have put a reminder in my phone to check on you on the first of every month, which is either a nice thing or a slightly clinical thing depending on your mood, and I am telling you because I want you to know it is deliberate.||No obligation to answer any of them.||Love, Ade","Naming the shape of the illness: a loss that keeps happening rather than one that happened. People with degenerative diagnoses in the family say the isolating part is that there is no event, so nobody knows when to be kind. Admitting the reminder in the phone sounds unromantic and lands as the opposite, because it is a promise with a mechanism behind it."
