n,chapter,chapter_title,part,quote,attribution,what_it_means,how_to_use_it
1,1,The First Hour,One,"Leave in the first hour, or make a plan to leave in the third week.","Priya Raghunathan, A&E nurse, day 1","Everyone leaves at once. That is the whole of it. A road carries a certain number of cars an hour and no more. The southbound carriageway held for about ninety minutes on the first morning. Then it stopped being a road and became a long thin car park with families sitting in it. It never moved again. The first hour is empty because nobody has decided yet. The third week is empty because the cars have been left where they died and walked away from. In between is the worst place in England. Raghunathan walked out of her department at twenty past nine, against every instinct she had been trained into. She was past the ring road before the first ambulance failed to arrive.","The first hour is empty because nobody knows anything, and that includes you. She drove north for forty minutes towards a town the news had not reached, which was already gone, and she had to turn round. She lost the hour and she lived through losing it. That is the only reason this rule is at the front of a book instead of cut into a stone. Anybody moving in the first hour is moving on rumour at fifty miles an hour. The third week is slower, colder, hungrier and far more honest. If you have any way of holding out for it, hold out for it."
2,1,The First Hour,One,Whatever you are locking out is in the building with you.,"Marcus Okon, police sergeant, day 1","Okon cleared eleven premises in two days. In nine of them the doors had been made fast from the inside. By people who had shut the problem in with themselves and then gone to sleep. Turning takes hours. Somebody bitten on Tuesday afternoon is a colleague at nine, quiet at midnight and a catastrophe at four. The lock is on the wrong side of the question. Before you seal a room, count the people in it. Account for every one of them out loud. Look at the arms of anybody who says they are fine.","It turns you into a man who checks the arms of strangers, and that is a difficult thing to stop being. Okon searched a family of four at the Hunslet checkpoint on day nine, found nothing, and waved them through. He searched them again on day eleven, because by then he could not not do it. The father broke his cheekbone and took the checkpoint's food. I do not blame him. Suspicion is a tool with a very short handle. This rule is for a room you are about to seal. It has no business anywhere else."
3,1,The First Hour,One,Fill the bath. Then fill everything else. Then sit down and think.,"Bea Winslow, retired postmistress, day 1","The towers are fed by gravity, so water keeps arriving for hours after the pumps have stopped, at a pressure that falls all afternoon. Then one time you turn the tap and it coughs. A bath is eighty litres. A cistern is nine. An older house has a tank in the loft with another two hundred in it that most people never think about. The order in the rule is the clever part: filling things needs no attention, so you can do your thinking while the taps run. Winslow filled the bath, four buckets, the kettle and two wheelie bins she dragged in over the kitchen lino. Only then did she get out a pencil.","Eighty litres weighs eighty kilos and you cannot carry a bath. There is a particular death that comes from having done something sensible on the first morning. It looks like a person standing in a well provisioned kitchen in June, unable to think of a reason to walk out of it. Winslow left hers on day thirty-one with a rucksack and a hand cart, and abandoned every drop. Fill the bath. Then do not let the bath make your decisions."
4,1,The First Hour,One,What is on your feet when it starts is what you have got.,"Ewan Tait, mountain rescue, day 2",You are not going home. That is the part people took three weeks to believe. Tait believed it on the second morning. He had spent nineteen years walking off hills with people who had made exactly one bad footwear decision that day. Feet are the first thing to fail and the hardest to repair. He kept a tally through the first spring of the people he found who could not go on. It comes out at eleven in walking boots and sixty-four in something else. Look down. That is your whole vehicle now.,It became a superstition. Men who had got out in good boots would not take them off. By the second month there was rot in the county that had nothing to do with anybody being bitten. Boots come off at night. The other failure is Tait's own. Good boots made him confident. Confidence took him over the tops in April with weather coming. Mountain rescue is a thing that requires there to be a mountain rescue.
5,1,The First Hour,One,"Fifteen minutes of packing, then out, whatever is still on the table.","Tomas Vrba, lorry driver, day 1","Packing expands to fill whatever time you give it, and the time you have is never what you think. Vrba loaded his car in fifteen minutes. He had loaded vehicles for a living for twenty-two years and knew the thing nobody else knows. It is not the carrying that takes the time. It is the choosing. A timer removes the choosing. He set the alarm on his phone, filled the boot, and drove off at eleven minutes past with the tailgate still up.","Fifteen minutes gets you the obvious, and the obvious is tins. Go through the notebooks and the same three things are left on the table in house after house: documents, medicine, and somebody's glasses. You can eat another man's tins. You cannot borrow his eyes. Vrba got out with four hundred tins and without his daughter's inhaler. He went back for it on day four, which is a thing this book tells you twice never to do. He came back with the inhaler. That is one of two occasions in eleven hundred notebooks where going back worked. It is in here so that you know how rare it is. Not so that you copy it."
6,1,The First Hour,One,Down. Always down.,"Oz Prentice, scaffolder, day 1","Height feels like safety and is not, because height is only safety if you can get off it whenever you choose. The lifts went in the first week. That leaves one staircase, and they climb stairs, badly and slowly and without ever getting bored. A tower block is a chimney with a single exit and four hundred people in it. Prentice had spent his working life at altitude on somebody else's building. He had a rigger's instinct about the way down being the part you plan first. He went down on the first afternoon, walked out of Little London, and is alive.","Down is where the water goes, and the smoke, and the crowd. Down is the street, and the street in the first week was the drift. The eleventh floor of Prentice's own block held out until the first week of May, on rainwater and a tank. Four of those people are alive too. This is the first place in the book where two good rules point opposite ways. Height traps you slowly and the ground kills you quickly. Which of those you would rather have is a real question with no general answer. Anybody who gives you one has not read enough notebooks."
7,1,The First Hour,One,Nobody who is more than one street away.,"Rob Hatherleigh, logistics corporal, day 1","It is arithmetic and it is not pleasant. Every retrieval costs you the journey out, the search, the argument on the doorstep and the journey back. Each of those is exposure. Exposure in the first week compounds. Hatherleigh had spent eleven years moving materiel. He wrote the rule at half past ten on the first morning, before he had seen one of them, on the back of a delivery note. It is the most hated sentence in this book. It is also, in the individual case, correct, and I have never found a set of numbers that says otherwise.","He went back for nobody. That included his brother in Armley, four streets off, and he was right, and it has eaten him alive for four years. Then there is the group problem. People will not follow a man they believe would not come for them. Hatherleigh's second group lost eleven of nineteen in the autumn. Not to anything that bit them. To nine people walking off in the night because of a rule pinned to a wall. A policy that is correct for one person can be fatal for twenty. Chapter eight is about that and about nothing else."
8,1,The First Hour,One,Their blood will not kill you. Their spit will.,"Yusuf Errai, veterinary surgeon, day 3","This is the single most useful sentence in the manual and the county had it backwards for the best part of a year. It passes in saliva, into blood, by a bite. Errai worked it out on the third day, from the pattern of who turned and who did not. Everybody bitten, and nobody else. That included two men who had spent a morning up to their elbows taking one apart. Blood on unbroken skin is nothing. Blood on your coat is nothing. Knowing that is the difference between two groups. One can clear a doorway. The other burns its own clothes and starves in a clean house.","It is true and it has a hole in it. Blood in an open cut, blood in an eye, blood in a mouth. Errai lost his assistant. She was splashed across the face cutting one down from a fence, and she had a torn cuticle on the hand she wiped herself with. There is no version of that sentence that would have saved her. Say the longer one. Their blood will not kill you through skin that is whole. You will not know which of your skin is whole until you check. So check."
9,1,The First Hour,One,"Off at the meter, and do the neighbours while you are out.","Sam Threlfall, plumber, day 2","Fire took more of this city than they did. Nobody argues about that any more. A hob left on. A pilot light. A gas main under a house nobody is watching, and no brigade. A terrace burns as one long building, with party walls that were never meant to be the last line. Threlfall walked the length of Cross Flatts with a meter key on the second morning and shut off forty-one houses. Including his own. Including the four he had to break into. It took him ninety minutes and it is the reason that street is still standing.","Ninety minutes in the open on day two, alone, in daylight, is a fair description of how most of the dead in this book died. He got away with it. Then there is what he built. A street with no gas is a street with no cooking and no heat. By November people were burning furniture in the front rooms of houses that were beautifully safe from gas. Three of them went up anyway. He solved the fire of March and bought the fire of December, which is a trade, and worth making, and worth knowing you have made."
10,1,The First Hour,One,Nobody is coming.,the Beeston wall,"Three words did more work in this county than any three I know. Everything about a person in a disaster is built around waiting. You ration for a fortnight. You signal. You stay where the rescuers will look. You keep the road clear. All of that assumes an outside that is functioning, and there was not one. Accepting that is the moment a victim becomes a resident. The people who took it in during the first week planted in the first spring. The people who did not were still sitting in the loft in June with a torch and a whistle.","Somebody came. Twice, that I can document, both in the first month, both by boat. And the sentence turned into a licence, because it never once told anybody what to do next. It was used to justify not answering a knock, not walking to the next village, not looking for a woman's children. It is one of the four in this book that arrived already famous. No notebook and no body behind it. Worn smooth by three hundred retellings. There is a note at the back about how much that smoothness ought to worry you. It is the best sentence in the manual. That is what is wrong with it."
